,genename,bianyileixing,count,uuid
70,ABCA6,nonsynonymous SNV,1,414e97e8-e01a-48f6-8af2-4bf22bc18353
71,ABCA7,frameshift deletion,8,3b534fc3-d851-4e76-9e76-177fd4022e10
72,ABCA7,frameshift insertion,2,da3d07ea-5ac9-4946-bf6c-56f33004ccdc
73,ABCA7,nonframeshift deletion,1,47f9a676-036f-42ee-88f1-4954cdc6d484
74,ABCA7,nonsynonymous SNV,76,ed3fe93a-a889-445c-808f-ea529474b8ec
75,ABCA7,stopgain,5,25e9c673-94f9-4288-88cc-a8fcaea34087
76,ABCA8,stopgain,1,002d09e1-36c9-4a9e-8315-097b24bdd701
77,ABCB1,nonsynonymous SNV,12,5c7ffda8-d563-49dd-9313-ac7e971ff39d
78,ABCB1,synonymous SNV,2,9a40ee41-976e-4116-b66a-617908426b8a
79,ABCB11,frameshift deletion,20,d2585f53-bace-4409-9447-aa97caaeeeda
80,ABCB11,frameshift insertion,5,62d1cce1-7042-41a4-9511-87619aae222e
81,ABCB11,nonframeshift deletion,2,e9b0cd67-5c3d-4347-877f-9f2c640d6d25
82,ABCB11,nonframeshift insertion,1,cf3a587b-082e-412c-8b01-06d9729df155
83,ABCB11,nonframeshift substitution,3,7e9fef7d-d10b-4ff5-a022-8f8c85ec5d8b
84,ABCB11,nonsynonymous SNV,176,e6b23f8b-50ff-4df0-a859-216043fd3d99
85,ABCB11,stopgain,29,386210c7-e4ae-48f1-8794-61ba26733872
86,ABCB11,synonymous SNV,5,57dc23fc-7ea3-4662-bf9d-9ce9de3a684d
87,ABCB4,frameshift deletion,13,cea57cd3-cfde-4bee-b249-377a06ca9e8e
88,ABCB4,frameshift insertion,14,d9c55d1d-b89c-45ce-b57e-3ec81d03b125
89,ABCB4,nonframeshift deletion,1,30856d34-9338-4ee0-b185-b6eae8b535c9
90,ABCB4,nonsynonymous SNV,120,4b01526e-af00-43b2-8da6-64938448cc08
91,ABCB4,stopgain,22,df1a1eb5-9c01-4fb0-b145-fc5a274a7bcf
92,ABCB4,stoploss,1,1a1654c0-e825-40d4-b485-899926cbce8d
93,ABCB4,synonymous SNV,2,5181fc38-8022-4c71-84cb-9a4f1f5f1771
94,ABCB5,nonsynonymous SNV,2,9d959443-9b02-4f96-a0e6-cd12205ebc44
95,ABCB6,frameshift deletion,8,4732facd-cc1a-4b12-9193-cf3629ef4a35
